epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3048,1.64282,2.89844,1.79183,0.00636,0.95455,0.10465,0.02926,1.59177,3.15669,1.86009,8e-05,8e-05,8e-05
2,19.1327,1.2379,2.64932,1.48386,0.00667,1,0.25411,0.1177,0.88592,2.77568,1.18405,0.000176436,0.000176436,0.000176436
3,27.8485,0.8358,2.17344,1.22569,0.00667,1,0.46351,0.32519,0.59074,2.64955,0.98811,0.000268912,0.000268912,0.000268912
4,36.543,0.64926,1.73715,1.10517,0.8132,0.19793,0.80571,0.62109,0.55149,2.33658,0.91664,0.000357428,0.000357428,0.000357428
5,45.3218,0.72187,1.56579,1.0267,0.69814,0.39394,0.64632,0.50963,0.60689,2.25931,0.93169,0.000441984,0.000441984,0.000441984
6,53.9269,0.64962,1.58023,1.01299,0.79371,0.40809,0.76266,0.62992,0.65106,2.21099,0.91295,0.00052258,0.00052258,0.00052258
7,62.6833,0.61947,1.20955,0.98043,0.63228,0.74242,0.69634,0.53872,0.59971,1.7137,0.92643,0.000599216,0.000599216,0.000599216
8,71.5328,0.50754,1.18321,0.95461,0.72652,0.84531,0.84042,0.66878,0.60783,1.40369,0.95866,0.000671892,0.000671892,0.000671892
9,80.2635,0.53989,1.10608,0.97507,0.89359,0.76347,0.87464,0.74406,0.59779,1.37674,0.91741,0.000740608,0.000740608,0.000740608
10,89.2256,0.54498,1.16298,0.97986,0.95825,0.69553,0.79995,0.68763,0.58983,1.6839,0.97117,0.000805364,0.000805364,0.000805364
11,312.914,0.56628,1.09106,0.96415,0.94279,0.66667,0.81184,0.69651,0.67827,1.45331,0.98244,0.00086616,0.00086616,0.00086616
12,321.823,0.58684,1.01215,0.98981,0.85845,0.74242,0.78826,0.63147,0.83865,1.58939,1.1282,0.000922996,0.000922996,0.000922996
13,330.757,0.47761,0.98644,0.93093,0.89028,0.73771,0.82008,0.68759,0.70311,1.51573,1.0467,0.000975872,0.000975872,0.000975872
14,339.641,0.62009,0.9806,0.94678,0.89028,0.73771,0.82008,0.68759,0.70311,1.51573,1.0467,0.00102479,0.00102479,0.00102479
15,348.542,0.63337,1.31311,1.1634,0.88483,0.83333,0.88572,0.77242,0.59069,1.34338,0.93851,0.00106974,0.00106974,0.00106974
16,357.344,0.60601,1.00536,0.98233,0.89981,0.81646,0.88734,0.76521,0.61832,1.29037,0.92845,0.00111074,0.00111074,0.00111074
17,366.186,0.59434,1.08672,1.00317,0.89223,0.74242,0.8383,0.7185,0.62444,1.37757,0.91945,0.00114778,0.00114778,0.00114778
18,374.995,0.57356,1.25046,1.01981,0.89223,0.74242,0.8383,0.7185,0.62444,1.37757,0.91945,0.00118085,0.00118085,0.00118085
19,383.847,0.70507,1.06078,0.99817,0.84031,0.77273,0.83617,0.72386,0.53127,1.42745,0.88425,0.00120997,0.00120997,0.00120997
20,392.659,0.50253,0.90152,0.92541,0.87933,0.80303,0.86733,0.79019,0.46289,1.12992,0.84823,0.00123512,0.00123512,0.00123512
21,401.326,0.4896,0.86393,0.91476,0.87933,0.80303,0.86733,0.79019,0.46289,1.12992,0.84823,0.001208,0.001208,0.001208
22,410.182,0.4232,0.91341,0.93546,0.90579,0.80303,0.86078,0.78715,0.46268,1.09451,0.86302,0.0011684,0.0011684,0.0011684
23,418.806,0.76166,1.42176,1.1814,0.90299,0.80303,0.91914,0.82647,0.44389,1.0743,0.8593,0.0011288,0.0011288,0.0011288
24,427.448,0.44822,0.95634,0.9377,0.90299,0.80303,0.91914,0.82647,0.44389,1.0743,0.8593,0.0010892,0.0010892,0.0010892
