epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7031,1.70175,2.82814,1.81319,0.00653,0.9899,0.13682,0.05458,1.23327,2.96327,1.50913,0.00012,0.00012,0.00012
2,32.2429,0.96563,2.33724,1.24701,0.0066,1,0.25949,0.15162,0.76437,2.73059,1.08831,0.000254852,0.000254852,0.000254852
3,44.494,0.77465,1.81915,1.07959,0.83205,0.20023,0.57121,0.46536,0.5735,2.36954,0.95313,0.00038416,0.00038416,0.00038416
4,56.8133,0.74294,1.67863,1.16855,0.80018,0.69697,0.74407,0.62475,0.6195,2.06375,0.9635,0.000507924,0.000507924,0.000507924
5,69.0821,0.6748,1.43682,1.02829,0.85029,0.51634,0.73488,0.62871,0.59875,2.12368,0.98292,0.000626144,0.000626144,0.000626144
6,81.3964,0.55279,1.20928,0.99693,0.92998,0.68687,0.80006,0.70711,0.54406,1.56115,0.92747,0.00073882,0.00073882,0.00073882
7,93.5576,0.54145,1.19953,0.96521,0.77763,0.70707,0.80474,0.69212,0.54654,1.48051,0.91923,0.000845952,0.000845952,0.000845952
8,105.94,0.57943,1.1725,0.98175,0.63595,0.54701,0.61419,0.51932,0.62503,2.30813,0.95893,0.00094754,0.00094754,0.00094754
9,118.21,0.58288,1.11799,0.98374,0.64577,0.67677,0.71529,0.61341,0.59838,1.59033,0.94699,0.00104358,0.00104358,0.00104358
10,130.502,0.56614,1.04867,0.94058,0.58854,0.64646,0.65389,0.52031,0.72925,1.69641,1.03578,0.00113408,0.00113408,0.00113408
11,142.785,0.53222,1.02026,0.9397,0.56524,0.64646,0.59854,0.45475,0.70697,2.37017,1.06019,0.00121904,0.00121904,0.00121904
12,155.099,0.51857,1.00679,0.93032,0.73429,0.67677,0.74703,0.61332,0.62267,1.98341,0.99257,0.00129845,0.00129845,0.00129845
13,167.399,0.5808,1.12947,1.00107,0.78947,0.67677,0.78738,0.65391,0.60815,1.68871,1.0222,0.00137232,0.00137232,0.00137232
14,179.695,0.53804,1.0103,0.95067,0.78947,0.67677,0.78738,0.65391,0.60815,1.68871,1.0222,0.00144064,0.00144064,0.00144064
15,192.017,0.53784,0.97951,0.94472,0.80492,0.79188,0.88015,0.78296,0.48315,1.22145,0.91211,0.0014456,0.0014456,0.0014456
16,204.343,0.57686,0.98197,0.93913,0.92773,0.82828,0.93399,0.8493,0.45483,1.10445,0.85626,0.001406,0.001406,0.001406
17,216.738,0.50696,0.89813,0.92656,0.79314,0.92949,0.93506,0.82068,0.47383,1.21106,0.86388,0.0013664,0.0013664,0.0013664
18,229.283,0.4994,0.84786,0.9447,0.83506,0.92049,0.94118,0.82205,0.47206,1.07923,0.87939,0.0013268,0.0013268,0.0013268
19,241.497,0.49216,0.86877,0.89196,0.91024,0.86869,0.94923,0.8465,0.45913,1.00225,0.87461,0.0012872,0.0012872,0.0012872
20,253.595,0.48214,0.9981,0.96134,0.94433,0.81818,0.93074,0.84803,0.47442,0.95491,0.86475,0.0012476,0.0012476,0.0012476
21,265.82,0.51819,0.8838,0.94817,0.90716,0.76768,0.88679,0.80441,0.51033,1.06966,0.90082,0.001208,0.001208,0.001208
22,278.014,0.50124,0.86255,0.92226,0.90716,0.76768,0.88679,0.80441,0.51033,1.06966,0.90082,0.0011684,0.0011684,0.0011684
23,290.244,0.47054,0.84175,0.90495,0.90512,0.72727,0.85636,0.77801,0.51409,1.14708,0.91682,0.0011288,0.0011288,0.0011288
24,302.385,0.47118,0.85058,0.95374,0.87705,0.76768,0.86573,0.75623,0.53818,1.19021,0.93028,0.0010892,0.0010892,0.0010892
25,314.65,0.44715,0.75083,0.89057,0.86076,0.72727,0.856,0.75938,0.52782,1.27331,0.89731,0.0010496,0.0010496,0.0010496
26,326.875,0.4544,0.80864,0.91706,0.91772,0.90134,0.9448,0.85589,0.43972,0.93766,0.8462,0.00101,0.00101,0.00101
27,339.143,0.43673,0.74196,0.94522,0.93429,0.91919,0.9667,0.89503,0.42068,0.79388,0.83525,0.0009704,0.0009704,0.0009704
28,351.339,0.43613,0.78598,0.92231,0.90142,0.9237,0.96557,0.89293,0.40282,0.76256,0.82395,0.0009308,0.0009308,0.0009308
29,363.581,0.45445,0.76894,0.93757,0.88605,0.94253,0.96488,0.87114,0.43491,0.79097,0.83964,0.0008912,0.0008912,0.0008912
